id_nutriente,nome_nutriente
1,Caloric_Value
2,Fat
3,Saturated_Fats
4,Monounsaturated_Fats
5,Carbohydrates
6,Sugars
7,Protein
8,Fiber
9,Cholesterol
10,Sodium
